REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
Census Regions,New England,2015,40,693,2,3,0.721501,0.29,0.43
Census Regions,Mid-Atlantic,2015,40,1584,5,1,0.378788,0.32,0.06
Census Regions,East North Central,2015,40,1918,13,3,0.834202,0.68,0.16
Census Regions,West North Central,2015,40,978,3,1,0.408998,0.31,0.1
Census Regions,South Atlantic,2015,40,2403,20,12,1.33167,0.83,0.5
Census Regions,East South Central,2015,40,615,4,4,1.30081,0.65,0.65
Census Regions,West South Central,2015,40,1286,7,14,1.63297,0.54,1.09
Census Regions,Mountain,2015,40,943,1,1,0.212089,0.11,0.11
Census Regions,Pacific,2015,40,1609,29,4,2.05096,1.8,0.25
Census Regions,New England,2015,41,752,11,4,1.99468,1.46,0.53
Census Regions,Mid-Atlantic,2015,41,1830,5,3,0.437158,0.27,0.16
Census Regions,East North Central,2015,41,2114,13,6,0.89877,0.61,0.28
Census Regions,West North Central,2015,41,1046,7,5,1.14723,0.67,0.48
Census Regions,South Atlantic,2015,41,2728,34,14,1.75953,1.25,0.51
Census Regions,East South Central,2015,41,665,5,3,1.20301,0.75,0.45
Census Regions,West South Central,2015,41,1345,8,15,1.71004,0.59,1.12
Census Regions,Mountain,2015,41,1040,3,0,0.288462,0.29,0
Census Regions,Pacific,2015,41,1591,30,4,2.13702,1.89,0.25
Census Regions,New England,2015,42,708,4,3,0.988701,0.56,0.42
Census Regions,Mid-Atlantic,2015,42,1836,4,3,0.381264,0.22,0.16
Census Regions,East North Central,2015,42,2222,4,7,0.49505,0.18,0.32
Census Regions,West North Central,2015,42,1137,7,1,0.703606,0.62,0.09
Census Regions,South Atlantic,2015,42,2807,55,19,2.63627,1.96,0.68
Census Regions,East South Central,2015,42,746,8,2,1.34048,1.07,0.27
Census Regions,West South Central,2015,42,1295,5,15,1.5444,0.39,1.16
Census Regions,Mountain,2015,42,1056,2,2,0.378788,0.19,0.19
Census Regions,Pacific,2015,42,1634,8,0,0.489596,0.49,0
Census Regions,New England,2015,43,716,1,1,0.27933,0.14,0.14
Census Regions,Mid-Atlantic,2015,43,1826,8,5,0.711939,0.44,0.27
Census Regions,East North Central,2015,43,2352,12,6,0.765306,0.51,0.26
Census Regions,West North Central,2015,43,1133,5,5,0.882613,0.44,0.44
Census Regions,South Atlantic,2015,43,2783,42,22,2.29968,1.51,0.79
Census Regions,East South Central,2015,43,725,5,5,1.37931,0.69,0.69
Census Regions,West South Central,2015,43,1273,17,4,1.64965,1.34,0.31
Census Regions,Mountain,2015,43,1084,2,1,0.276753,0.18,0.09
Census Regions,Pacific,2015,43,1645,6,3,0.547112,0.36,0.18
Census Regions,New England,2015,44,781,0,1,0.128041,0,0.13
Census Regions,Mid-Atlantic,2015,44,1856,8,3,0.592672,0.43,0.16
Census Regions,East North Central,2015,44,2331,13,9,0.943801,0.56,0.39
Census Regions,West North Central,2015,44,1211,2,5,0.578035,0.17,0.41
Census Regions,South Atlantic,2015,44,3112,42,27,2.21722,1.35,0.87
Census Regions,East South Central,2015,44,914,3,11,1.53173,0.33,1.2
Census Regions,West South Central,2015,44,1438,13,6,1.32128,0.9,0.42
Census Regions,Mountain,2015,44,1266,4,2,0.473934,0.32,0.16
Census Regions,Pacific,2015,44,1778,12,4,0.899888,0.67,0.22
Census Regions,New England,2015,45,682,2,1,0.439883,0.29,0.15
Census Regions,Mid-Atlantic,2015,45,1906,8,2,0.524659,0.42,0.1
Census Regions,East North Central,2015,45,2366,23,3,1.0989,0.97,0.13
Census Regions,West North Central,2015,45,1119,1,0,0.0893655,0.09,0
Census Regions,South Atlantic,2015,45,3300,50,49,3,1.52,1.48
Census Regions,East South Central,2015,45,841,8,10,2.14031,0.95,1.19
Census Regions,West South Central,2015,45,1566,16,15,1.97957,1.02,0.96
Census Regions,Mountain,2015,45,1337,3,0,0.224383,0.22,0
Census Regions,Pacific,2015,45,1931,11,6,0.880373,0.57,0.31
Census Regions,New England,2015,46,779,1,1,0.256739,0.13,0.13
Census Regions,Mid-Atlantic,2015,46,2018,5,6,0.545094,0.25,0.3
Census Regions,East North Central,2015,46,2459,15,8,0.93534,0.61,0.33
Census Regions,West North Central,2015,46,1085,2,4,0.552995,0.18,0.37
Census Regions,South Atlantic,2015,46,3121,32,53,2.72349,1.03,1.7
Census Regions,East South Central,2015,46,1005,5,6,1.09453,0.5,0.6
Census Regions,West South Central,2015,46,1401,16,17,2.35546,1.14,1.21
