REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (2009 H1N1),A (H1),A (H3),A (Subtyping not Performed),A (Unable to Subtype),B,H3N2v
Census Regions,New England,2013,40,151,0,0,0,0,0,0,0,0
Census Regions,Mid-Atlantic,2013,40,634,2.36593,10,0,2,0,0,3,0
Census Regions,East North Central,2013,40,248,1.6129,2,0,1,0,0,1,0
Census Regions,West North Central,2013,40,544,2.20588,5,0,1,2,0,3,1
Census Regions,South Atlantic,2013,40,1397,9.23407,35,0,1,77,0,16,0
Census Regions,East South Central,2013,40,158,7.59494,11,0,0,0,0,1,0
Census Regions,West South Central,2013,40,526,1.3308,3,0,2,2,0,0,0
Census Regions,Mountain,2013,40,609,0.656814,1,0,0,1,0,2,0
Census Regions,Pacific,2013,40,644,1.70807,2,0,6,1,0,2,0
Census Regions,New England,2013,41,194,0.515464,0,0,1,0,0,0,0
Census Regions,Mid-Atlantic,2013,41,635,1.10236,5,0,2,0,0,0,0
Census Regions,East North Central,2013,41,276,1.81159,1,0,4,0,0,0,0
Census Regions,West North Central,2013,41,653,0.153139,0,0,0,0,0,1,0
Census Regions,South Atlantic,2013,41,1610,10,27,0,1,108,0,25,0
Census Regions,East South Central,2013,41,153,6.53595,9,0,0,0,0,1,0
Census Regions,West South Central,2013,41,747,1.74029,4,0,4,3,0,2,0
Census Regions,Mountain,2013,41,698,1.00287,5,0,1,0,0,1,0
Census Regions,Pacific,2013,41,842,2.85036,6,0,11,5,0,2,0
Census Regions,New England,2013,42,201,0,0,0,0,0,0,0,0
Census Regions,Mid-Atlantic,2013,42,676,1.18343,6,0,0,1,0,1,0
Census Regions,East North Central,2013,42,302,2.64901,5,0,2,1,0,0,0
Census Regions,West North Central,2013,42,671,1.04322,2,0,0,1,0,4,0
Census Regions,South Atlantic,2013,42,1607,6.78283,11,0,1,83,0,14,0
Census Regions,East South Central,2013,42,143,3.4965,5,0,0,0,0,0,0
Census Regions,West South Central,2013,42,688,1.59884,3,0,3,2,0,3,0
Census Regions,Mountain,2013,42,684,1.60819,3,0,2,2,0,4,0
Census Regions,Pacific,2013,42,829,3.13631,14,0,8,4,0,0,0
Census Regions,New England,2013,43,175,1.71429,2,0,0,1,0,0,0
Census Regions,Mid-Atlantic,2013,43,698,0.859599,6,0,0,0,0,0,0
Census Regions,East North Central,2013,43,299,2.34114,4,0,2,1,0,0,0
Census Regions,West North Central,2013,43,672,0.446429,3,0,0,0,0,0,0
Census Regions,South Atlantic,2013,43,1702,7.81434,29,0,6,87,0,11,0
Census Regions,East South Central,2013,43,210,4.7619,10,0,0,0,0,0,0
Census Regions,West South Central,2013,43,750,3.06667,9,0,4,7,0,3,0
Census Regions,Mountain,2013,43,656,1.37195,4,0,3,2,0,0,0
Census Regions,Pacific,2013,43,724,1.9337,6,0,6,2,0,0,0
Census Regions,New England,2013,44,210,1.90476,2,0,2,0,0,0,0
Census Regions,Mid-Atlantic,2013,44,722,0.969529,1,0,3,2,0,1,0
Census Regions,East North Central,2013,44,307,4.23453,8,0,2,0,0,3,0
Census Regions,West North Central,2013,44,779,1.66881,2,0,1,4,0,6,0
Census Regions,South Atlantic,2013,44,1761,8.91539,21,0,1,112,0,23,0
Census Regions,East South Central,2013,44,203,7.38916,12,0,0,3,0,0,0
Census Regions,West South Central,2013,44,787,2.5413,11,0,3,3,0,3,0
Census Regions,Mountain,2013,44,705,5.39007,20,0,7,10,0,1,0
Census Regions,Pacific,2013,44,842,3.08789,11,0,7,2,0,6,0
Census Regions,New England,2013,45,218,1.37615,1,0,2,0,0,0,0
Census Regions,Mid-Atlantic,2013,45,828,1.93237,8,0,2,3,0,3,0
Census Regions,East North Central,2013,45,344,6.10465,16,0,1,1,0,3,0
Census Regions,West North Central,2013,45,738,1.49051,4,0,5,0,0,2,0
Census Regions,South Atlantic,2013,45,1894,9.2925,23,0,0,136,0,17,0
Census Regions,East South Central,2013,45,260,10,18,0,0,8,0,0,0
Census Regions,West South Central,2013,45,943,6.99894,41,0,5,14,0,6,0
Census Regions,Mountain,2013,45,775,6.96774,35,0,7,5,0,7,0
Census Regions,Pacific,2013,45,945,2.85714,11,0,7,4,0,5,0
Census Regions,New England,2013,46,242,2.89256,3,0,3,1,0,0,0
Census Regions,Mid-Atlantic,2013,46,844,3.08057,17,0,1,3,0,5,0
Census Regions,East North Central,2013,46,356,8.42697,28,0,1,1,0,0,0
Census Regions,West North Central,2013,46,712,3.23034,17,0,2,4,0,0,0
Census Regions,South Atlantic,2013,46,1947,9.55316,38,0,2,125,0,21,0
Census Regions,East South Central,2013,46,238,6.72269,9,0,0,6,0,1,0
Census Regions,West South Central,2013,46,1146,8.726,62,0,2,30,0,6,0
Census Regions,Mountain,2013,46,813,12.1771,82,0,1,14,0,2,0
Census Regions,Pacific,2013,46,905,3.42541,16,0,9,4,0,2,0
Census Regions,New England,2013,47,224,3.125,4,0,1,1,0,1,0
Census Regions,Mid-Atlantic,2013,47,871,3.78875,27,0,1,3,0,2,0
Census Regions,East North Central,2013,47,395,14.6835,47,0,3,6,0,2,0
Census Regions,West North Central,2013,47,789,3.42205,24,0,1,2,0,0,0
Census Regions,South Atlantic,2013,47,2112,10.9375,56,0,0,127,0,48,0
Census Regions,East South Central,2013,47,319,15.047,25,0,1,22,0,0,0
Census Regions,West South Central,2013,47,1170,9.31624,73,0,6,26,0,4,0
Census Regions,Mountain,2013,47,990,16.7677,143,0,1,22,0,0,0
Census Regions,Pacific,2013,47,969,3.92157,26,0,8,4,0,0,0
Census Regions,New England,2013,48,203,5.41872,8,0,2,1,0,0,0
Census Regions,Mid-Atlantic,2013,48,799,4.38048,23,0,3,7,0,2,0
Census Regions,East North Central,2013,48,346,16.185,54,0,1,1,0,0,0
Census Regions,West North Central,2013,48,679,7.51105,45,0,2,1,0,3,0
Census Regions,South Atlantic,2013,48,2128,12.594,62,0,1,176,0,29,0
Census Regions,East South Central,2013,48,234,14.1026,11,0,1,21,0,0,0
Census Regions,West South Central,2013,48,1161,12.317,64,0,1,73,0,5,0
Census Regions,Mountain,2013,48,978,24.5399,194,0,2,43,0,1,0
Census Regions,Pacific,2013,48,905,6.74033,35,0,16,8,0,2,0
Census Regions,New England,2013,49,311,10.6109,23,0,1,5,0,4,0
Census Regions,Mid-Atlantic,2013,49,1083,7.01754,52,0,4,10,0,10,0
Census Regions,East North Central,2013,49,510,26.2745,122,0,0,10,0,2,0
Census Regions,West North Central,2013,49,875,9.37143,80,0,1,1,0,0,0
Census Regions,South Atlantic,2013,49,2843,17.5167,133,0,6,321,0,38,0
Census Regions,East South Central,2013,49,370,19.1892,50,0,0,20,0,1,0
Census Regions,West South Central,2013,49,1757,20.4326,182,0,7,164,0,6,0
Census Regions,Mountain,2013,49,1412,25.3541,294,0,5,56,0,3,0
Census Regions,Pacific,2013,49,1008,10.7143,87,0,10,6,0,5,0
Census Regions,New England,2013,50,297,9.42761,21,0,2,3,0,2,0
