REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
HHS Regions,Region 1,2013,40,0.621395,0.615189,117,44,,168,19,20,368,176,59819
HHS Regions,Region 2,2013,40,1.60751,1.43147,632,321,,644,120,75,1792,222,125186
HHS Regions,Region 3,2013,40,0.926323,1.094,401,293,,465,75,55,1289,233,117824
HHS Regions,Region 4,2013,40,0.943459,1.02004,432,249,,666,62,44,1453,322,142445
HHS Regions,Region 5,2013,40,0.885838,1.13913,402,207,,435,110,76,1230,270,107977
HHS Regions,Region 6,2013,40,2.1557,2.09784,585,418,,709,120,78,1910,235,91046
HHS Regions,Region 7,2013,40,0.649922,0.339711,48,39,,71,17,7,182,90,53575
HHS Regions,Region 8,2013,40,0.687334,0.760655,111,74,,178,28,17,408,119,53638
HHS Regions,Region 9,2013,40,1.36535,1.11037,234,178,,399,79,82,972,246,87538
HHS Regions,Region 10,2013,40,0.429608,0.472829,12,17,,34,8,2,73,47,15439
HHS Regions,Region 1,2013,41,0.654441,0.644258,126,39,,195,15,16,391,180,60690
HHS Regions,Region 2,2013,41,1.69064,1.35107,641,280,,547,127,68,1663,229,123088
HHS Regions,Region 3,2013,41,1.05393,1.17362,382,294,,493,72,46,1287,217,109661
HHS Regions,Region 4,2013,41,1.00106,1.09219,479,243,,666,99,59,1546,330,141550
HHS Regions,Region 5,2013,41,1.03914,1.24152,480,244,,470,100,93,1387,283,111718
HHS Regions,Region 6,2013,41,2.23693,2.21748,644,469,,774,163,103,2153,247,97092
HHS Regions,Region 7,2013,41,0.848308,0.443926,66,44,,89,16,21,236,91,53162
HHS Regions,Region 8,2013,41,0.735041,0.849184,133,101,,194,46,18,492,121,57938
HHS Regions,Region 9,2013,41,1.60314,1.33749,309,192,,468,120,103,1192,247,89122
HHS Regions,Region 10,2013,41,0.405647,0.448486,16,18,,29,4,6,73,45,16277
HHS Regions,Region 1,2013,42,0.741983,0.734524,138,38,,206,17,22,421,179,57316
HHS Regions,Region 2,2013,42,1.96094,1.45593,769,255,,555,124,64,1767,239,121366
HHS Regions,Region 3,2013,42,1.04182,1.23231,424,332,,500,94,62,1412,234,114582
HHS Regions,Region 4,2013,42,1.0157,1.19934,507,305,,695,130,68,1705,330,142161
HHS Regions,Region 5,2013,42,0.987201,1.24377,453,227,,495,119,87,1381,280,111033
HHS Regions,Region 6,2013,42,2.43559,2.34977,669,506,,728,151,81,2135,246,90860
HHS Regions,Region 7,2013,42,0.708172,0.398099,48,47,,93,16,13,217,96,54509
HHS Regions,Region 8,2013,42,0.644746,0.72014,111,93,,149,23,15,391,118,54295
HHS Regions,Region 9,2013,42,1.60277,1.33103,337,197,,419,103,84,1140,246,85648
HHS Regions,Region 10,2013,42,0.511438,0.547827,27,10,,40,8,4,89,50,16246
HHS Regions,Region 1,2013,43,0.80209,0.687364,164,33,,163,18,13,391,171,56884
HHS Regions,Region 2,2013,43,1.69922,1.60804,854,347,,638,126,60,2025,239,125930
HHS Regions,Region 3,2013,43,1.12691,1.32535,476,363,,551,97,72,1559,235,117629
HHS Regions,Region 4,2013,43,1.23721,1.45576,678,368,,891,105,65,2107,328,144735
HHS Regions,Region 5,2013,43,1.11493,1.34964,501,241,,557,122,91,1512,285,112030
HHS Regions,Region 6,2013,43,2.39649,2.41742,716,559,,888,161,69,2393,250,98990
HHS Regions,Region 7,2013,43,0.912239,0.491462,61,66,,107,26,16,276,93,56159
HHS Regions,Region 8,2013,43,0.811668,0.907251,143,89,,245,31,30,538,123,59300
HHS Regions,Region 9,2013,43,1.59993,1.28281,316,207,,417,120,94,1154,251,89959
HHS Regions,Region 10,2013,43,0.513327,0.496902,21,19,,27,10,4,81,52,16301
HHS Regions,Region 1,2013,44,0.905562,0.722909,142,27,,210,12,12,403,167,55747
HHS Regions,Region 2,2013,44,2.01973,1.69468,893,307,,695,136,62,2093,244,123504
HHS Regions,Region 3,2013,44,1.10398,1.33421,442,368,,566,119,64,1559,238,116848
HHS Regions,Region 4,2013,44,1.29089,1.54214,650,438,,956,114,50,2208,330,143178
HHS Regions,Region 5,2013,44,1.17731,1.41782,546,245,,558,129,97,1575,287,111086
HHS Regions,Region 6,2013,44,2.51041,2.50366,757,505,,807,191,102,2362,248,94342
HHS Regions,Region 7,2013,44,0.796841,0.501769,82,49,,98,18,21,268,90,53411
HHS Regions,Region 8,2013,44,0.71632,0.9095,198,151,,230,53,15,647,114,71138
HHS Regions,Region 9,2013,44,1.80107,1.46095,316,241,,491,150,104,1302,259,89120
HHS Regions,Region 10,2013,44,0.535649,0.525892,19,23,,31,8,4,85,51,16163
HHS Regions,Region 1,2013,45,0.955454,0.775028,128,44,,210,27,25,434,166,55998
HHS Regions,Region 2,2013,45,1.78105,1.75241,1006,304,,662,108,49,2129,246,121490
HHS Regions,Region 3,2013,45,1.12149,1.33524,503,393,,500,114,67,1577,233,118106
HHS Regions,Region 4,2013,45,1.49248,1.77416,824,439,,1133,144,65,2605,332,146830
HHS Regions,Region 5,2013,45,1.2143,1.45459,540,262,,572,145,84,1603,282,110203
HHS Regions,Region 6,2013,45,2.91517,2.85511,778,559,,972,181,84,2574,226,90154
HHS Regions,Region 7,2013,45,0.893907,0.527024,74,73,,113,19,11,290,92,55026
HHS Regions,Region 8,2013,45,0.753484,0.942172,204,157,,250,66,20,697,120,73978
HHS Regions,Region 9,2013,45,2.06682,1.6793,355,274,,627,144,124,1524,268,90752
HHS Regions,Region 10,2013,45,0.379759,0.398577,22,6,,23,5,9,65,52,16308
HHS Regions,Region 1,2013,46,0.851659,0.794038,165,70,,162,30,13,440,171,55413
HHS Regions,Region 2,2013,46,1.54163,1.76395,1045,244,,667,112,67,2135,243,121035
HHS Regions,Region 3,2013,46,1.25863,1.44038,511,412,,558,124,72,1677,238,116428
HHS Regions,Region 4,2013,46,1.47521,1.81447,821,499,,1066,151,85,2622,336,144505
HHS Regions,Region 5,2013,46,1.16591,1.43983,568,277,,533,123,96,1597,288,110916
HHS Regions,Region 6,2013,46,3.29638,3.17205,884,786,,1112,261,109,3152,249,99368
HHS Regions,Region 7,2013,46,0.864878,0.468759,57,55,,107,13,11,243,92,51839
HHS Regions,Region 8,2013,46,0.706757,0.870961,172,135,,234,33,23,597,118,68545
HHS Regions,Region 9,2013,46,2.0459,1.61715,401,225,,521,134,100,1381,267,85397
HHS Regions,Region 10,2013,46,0.503713,0.534071,19,13,,40,9,2,83,52,15541
HHS Regions,Region 1,2013,47,0.692049,0.709011,145,42,,153,28,17,385,160,54301
HHS Regions,Region 2,2013,47,1.85574,1.91311,1128,307,,665,109,68,2277,242,119021
HHS Regions,Region 3,2013,47,1.18203,1.46272,509,410,,597,131,73,1720,235,117589
HHS Regions,Region 4,2013,47,1.69768,2.00787,855,612,,1289,187,110,3053,330,152052
HHS Regions,Region 5,2013,47,1.20015,1.49496,553,267,,568,121,73,1582,289,105822
HHS Regions,Region 6,2013,47,3.70307,3.43496,867,890,,1258,249,89,3353,236,97614
HHS Regions,Region 7,2013,47,1.03842,0.580976,64,67,,120,18,21,290,91,49916
HHS Regions,Region 8,2013,47,0.953634,1.27163,273,218,,353,83,26,953,119,74943
HHS Regions,Region 9,2013,47,1.9743,1.65793,411,263,,552,154,104,1484,262,89509
HHS Regions,Region 10,2013,47,0.469309,0.48484,30,12,,24,3,2,71,48,14644
HHS Regions,Region 1,2013,48,0.91993,0.932446,163,49,,87,21,15,335,165,35927
HHS Regions,Region 2,2013,48,2.02846,2.25215,1216,292,,610,96,62,2276,258,101059
HHS Regions,Region 3,2013,48,1.51288,1.75907,512,358,,534,134,62,1600,234,90957
HHS Regions,Region 4,2013,48,2.16364,2.48965,894,575,,891,183,109,2652,326,106521
HHS Regions,Region 5,2013,48,1.68542,1.98714,550,277,,478,125,97,1527,286,76844
HHS Regions,Region 6,2013,48,4.39287,4.13207,896,935,,940,286,123,3180,247,76959
HHS Regions,Region 7,2013,48,1.121,0.569211,55,71,,63,20,11,220,92,38650
HHS Regions,Region 8,2013,48,0.995917,1.35856,288,203,,302,57,44,894,120,65805
HHS Regions,Region 9,2013,48,2.34894,1.9494,341,251,,386,129,115,1222,261,62686
HHS Regions,Region 10,2013,48,0.680224,0.656018,22,16,,22,8,1,69,53,10518
HHS Regions,Region 1,2013,49,0.825554,0.822261,153,65,,161,29,32,440,162,53511
HHS Regions,Region 2,2013,49,2.02368,2.29557,1398,440,,900,157,83,2978,263,129728
HHS Regions,Region 3,2013,49,1.51609,1.76527,575,583,,659,186,91,2094,240,118622
HHS Regions,Region 4,2013,49,2.28842,2.78632,1062,861,,1664,290,144,4021,328,144312
HHS Regions,Region 5,2013,49,1.56576,1.91821,716,356,,656,162,119,2009,290,104733
HHS Regions,Region 6,2013,49,4.94593,4.61421,934,1440,,1415,474,200,4463,245,96723
HHS Regions,Region 7,2013,49,1.2566,0.656758,70,88,,145,23,16,342,95,52074
HHS Regions,Region 8,2013,49,1.52746,1.64348,186,250,,330,57,37,860,119,52328
HHS Regions,Region 9,2013,49,2.13631,1.83676,441,273,,610,159,138,1621,261,88253
HHS Regions,Region 10,2013,49,0.653257,0.639777,14,19,,39,15,5,92,52,14380
HHS Regions,Region 1,2013,50,1.06768,1.03107,199,68,,194,30,18,509,155,49366
HHS Regions,Region 2,2013,50,1.77828,2.32225,1284,333,,879,135,64,2695,257,116051
HHS Regions,Region 3,2013,50,1.60178,1.87832,577,529,,650,158,82,1996,244,106265
HHS Regions,Region 4,2013,50,2.36927,2.80848,1005,798,,1543,269,163,3778,330,134521
HHS Regions,Region 5,2013,50,1.72177,2.08861,694,381,,693,154,89,2011,290,96284
HHS Regions,Region 6,2013,50,5.60209,5.34457,991,1626,,1788,542,198,5145,250,96266
HHS Regions,Region 7,2013,50,1.52616,0.802976,71,108,,162,38,16,395,94,49192
HHS Regions,Region 8,2013,50,1.60235,1.7326,197,248,,413,78,31,967,119,55812
HHS Regions,Region 9,2013,50,2.51824,2.09016,458,328,,681,172,134,1773,263,84826
HHS Regions,Region 10,2013,50,0.860692,0.916975,25,39,,43,15,7,129,52,14068
HHS Regions,Region 1,2013,51,1.1724,1.14087,221,83,,167,30,26,527,157,46193
HHS Regions,Region 2,2013,51,2.23377,2.62572,1353,511,,1003,149,72,3088,246,117606
HHS Regions,Region 3,2013,51,2.00486,2.30199,731,668,,785,242,95,2521,235,109514
HHS Regions,Region 4,2013,51,3.24327,3.66139,1220,1177,,1697,412,135,4641,327,126755
HHS Regions,Region 5,2013,51,2.14509,2.51292,831,544,,814,200,120,2509,290,99844
HHS Regions,Region 6,2013,51,8.00422,6.90014,1156,2286,,2308,741,204,6695,239,97027
HHS Regions,Region 7,2013,51,2.80787,1.35933,125,191,,259,44,21,640,94,47082
HHS Regions,Region 8,2013,51,2.00255,2.27853,352,502,,661,168,48,1731,112,75970
HHS Regions,Region 9,2013,51,2.94052,2.56776,516,505,,645,252,209,2127,258,82835
HHS Regions,Region 10,2013,51,1.50751,1.80688,50,58,,67,34,9,218,51,12065
HHS Regions,Region 1,2013,52,1.58812,1.73616,211,89,,154,33,26,513,164,29548
HHS Regions,Region 2,2013,52,2.93452,3.36772,1482,657,,978,231,86,3434,248,101968
HHS Regions,Region 3,2013,52,3.30628,3.30091,964,954,,858,313,165,3254,233,98579
HHS Regions,Region 4,2013,52,4.60815,4.97333,1274,1220,,1269,527,241,4531,318,91106
HHS Regions,Region 5,2013,52,3.59674,4.03615,980,656,,813,253,134,2836,291,70265
HHS Regions,Region 6,2013,52,9.86221,9.21926,1643,2524,,1992,949,323,7431,242,80603
HHS Regions,Region 7,2013,52,4.4809,2.30112,173,238,,213,91,31,746,93,32419
HHS Regions,Region 8,2013,52,3.6625,3.84198,378,521,,547,175,79,1700,116,44248
HHS Regions,Region 9,2013,52,4.53268,3.70459,602,531,,571,248,209,2161,250,58333
HHS Regions,Region 10,2013,52,3.58097,4.72831,107,109,,90,54,22,382,52,8079
HHS Regions,Region 1,2014,1,1.60948,1.74458,214,111,,118,36,30,509,158,29176
HHS Regions,Region 2,2014,1,3.33508,3.49941,1250,850,,835,296,125,3356,248,95902
HHS Regions,Region 3,2014,1,3.59339,3.73505,894,1449,,866,529,243,3981,240,106585
HHS Regions,Region 4,2014,1,3.8926,4.23496,1247,1469,,1146,615,290,4767,334,112563
HHS Regions,Region 5,2014,1,3.3706,3.89165,961,802,,644,376,211,2994,290,76934
HHS Regions,Region 6,2014,1,8.5737,8.26957,1635,2785,,1822,1032,453,7727,247,93439
HHS Regions,Region 7,2014,1,4.06436,2.09829,167,296,,236,75,50,824,93,39270
HHS Regions,Region 8,2014,1,2.96215,3.01586,331,534,,333,194,89,1481,117,49107
HHS Regions,Region 9,2014,1,4.56574,3.73771,649,700,,616,338,233,2536,257,67849
HHS Regions,Region 10,2014,1,3.99164,4.9901,140,139,,110,64,26,479,49,9599
HHS Regions,Region 1,2014,2,1.39198,1.42247,199,165,,228,66,31,689,162,48437
HHS Regions,Region 2,2014,2,2.746,2.85504,1025,922,,981,337,151,3416,250,119648
HHS Regions,Region 3,2014,2,3.19906,3.72458,674,1736,,1037,584,250,4281,242,114939
