REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (2009 H1N1),A (H1),A (H3),A (Subtyping not Performed),A (Unable to Subtype),B,H3N2v
HHS Regions,Region 1,2013,40,151,0,0,0,0,0,0,0,0
HHS Regions,Region 2,2013,40,509,2.35756,7,0,2,0,0,3,0
HHS Regions,Region 3,2013,40,409,0.977995,4,0,0,0,0,0,0
HHS Regions,Region 4,2013,40,1271,11.0149,45,0,1,77,0,17,0
HHS Regions,Region 5,2013,40,379,1.58311,4,0,1,0,0,1,0
HHS Regions,Region 6,2013,40,539,1.2987,3,0,2,2,0,0,0
HHS Regions,Region 7,2013,40,341,1.46628,2,0,1,0,0,1,1
HHS Regions,Region 8,2013,40,619,1.45396,2,0,0,3,0,4,0
HHS Regions,Region 9,2013,40,432,2.08333,2,0,5,1,0,1,0
HHS Regions,Region 10,2013,40,261,0.766284,0,0,1,0,0,1,0
HHS Regions,Region 1,2013,41,194,0.515464,0,0,1,0,0,0,0
HHS Regions,Region 2,2013,41,528,1.13636,5,0,1,0,0,0,0
HHS Regions,Region 3,2013,41,456,0.438596,1,0,1,0,0,0,0
HHS Regions,Region 4,2013,41,1414,12.0226,35,0,1,108,0,26,0
HHS Regions,Region 5,2013,41,442,1.13122,1,0,4,0,0,0,0
HHS Regions,Region 6,2013,41,763,1.7038,4,0,4,3,0,2,0
HHS Regions,Region 7,2013,41,389,0.257069,0,0,0,0,0,1,0
HHS Regions,Region 8,2013,41,726,0.688705,4,0,0,0,0,1,0
HHS Regions,Region 9,2013,41,622,2.89389,6,0,8,3,0,1,0
HHS Regions,Region 10,2013,41,274,2.91971,1,0,4,2,0,1,0
HHS Regions,Region 1,2013,42,201,0,0,0,0,0,0,0,0
HHS Regions,Region 2,2013,42,567,1.23457,6,0,0,1,0,0,0
HHS Regions,Region 3,2013,42,492,0.406504,0,0,1,0,0,1,0
HHS Regions,Region 4,2013,42,1367,8.26628,16,0,0,83,0,14,0
HHS Regions,Region 5,2013,42,493,1.62272,5,0,2,1,0,0,0
HHS Regions,Region 6,2013,42,700,1.57143,3,0,3,2,0,3,0
HHS Regions,Region 7,2013,42,378,1.0582,0,0,0,0,0,4,0
HHS Regions,Region 8,2013,42,719,1.80807,4,0,2,3,0,4,0
HHS Regions,Region 9,2013,42,611,3.10966,7,0,8,4,0,0,0
HHS Regions,Region 10,2013,42,273,2.9304,8,0,0,0,0,0,0
HHS Regions,Region 1,2013,43,175,1.71429,2,0,0,1,0,0,0
HHS Regions,Region 2,2013,43,589,0.679117,4,0,0,0,0,0,0
HHS Regions,Region 3,2013,43,506,2.56917,7,0,6,0,0,0,0
HHS Regions,Region 4,2013,43,1515,8.71287,34,0,0,87,0,11,0
HHS Regions,Region 5,2013,43,499,1.40281,4,0,2,1,0,0,0
HHS Regions,Region 6,2013,43,765,3.00654,9,0,4,7,0,3,0
HHS Regions,Region 7,2013,43,362,0.552486,2,0,0,0,0,0,0
HHS Regions,Region 8,2013,43,688,1.01744,3,0,2,2,0,0,0
