YEAR,WEEK,TOTAL SPECIMENS,A (H1),A (Unable to Subtype),A (H3),A (H1N1)pdm09,A (Subtyping not Performed),B (Lineage Unspecified),H3N2v,B (Victoria Lineage),B (Yamagata Lineage),,,,,,
2015,40,1138,0,0,65,4,2,10,0,0,1,0.0%,0.0%,5.7%,0.4%,0.2%,0.9%
2015,41,1158,0,0,41,5,2,7,0,3,0,0.0%,0.0%,3.5%,0.4%,0.2%,0.6%
2015,42,1195,0,0,50,10,1,8,0,3,2,0.0%,0.0%,4.2%,0.8%,0.1%,0.7%
2015,43,1243,0,0,31,9,4,9,0,1,4,0.0%,0.0%,2.5%,0.7%,0.3%,0.7%
2015,44,1465,0,0,23,4,4,9,0,1,4,0.0%,0.0%,1.6%,0.3%,0.3%,0.6%
2015,45,1393,0,0,34,11,1,10,0,4,2,0.0%,0.0%,2.4%,0.8%,0.1%,0.7%
2015,46,1457,0,0,42,17,1,4,0,0,4,0.0%,0.0%,2.9%,1.2%,0.1%,0.3%
2015,47,1157,0,0,24,17,0,4,0,3,9,0.0%,0.0%,2.1%,1.5%,0.0%,0.3%
2015,48,1550,0,0,36,27,3,9,0,3,12,0.0%,0.0%,2.3%,1.7%,0.2%,0.6%
2015,49,1516,0,0,37,38,3,11,0,2,11,0.0%,0.0%,2.4%,2.5%,0.2%,0.7%
2015,50,1473,0,0,39,69,0,10,0,4,19,0.0%,0.0%,2.6%,4.7%,0.0%,0.7%
2015,51,1246,0,0,33,89,1,12,0,3,28,0.0%,0.0%,2.6%,7.1%,0.1%,1.0%
2015,52,1483,0,0,55,146,1,13,0,9,35,0.0%,0.0%,3.7%,9.8%,0.1%,0.9%
2016,1,1831,0,0,64,230,2,14,0,12,52,0.0%,0.0%,3.5%,12.6%,0.1%,0.8%
2016,2,1746,0,0,88,255,5,45,0,23,60,0.0%,0.0%,5.0%,14.6%,0.3%,2.6%
2016,3,1941,0,0,99,360,13,45,0,25,83,0.0%,0.0%,5.1%,18.5%,0.7%,2.3%
2016,4,2557,0,0,157,522,15,96,0,28,104,0.0%,0.0%,6.1%,20.4%,0.6%,3.8%
2016,5,2724,0,0,170,671,13,98,0,62,143,0.0%,0.0%,6.2%,24.6%,0.5%,3.6%
