Week Ending Date,Year,Week,AntigenDetection,VirusIsolation,PCR
8/8/2015,2015,32,0,0,0.1
8/15/2015,2015,33,0,0,0.1
8/22/2015,2015,34,0,0,0.1
8/29/2015,2015,35,0,0,0
9/5/2015,2015,36,0.5,0.2,0.1
9/12/2015,2015,37,0,0,0.1
9/19/2015,2015,38,0,0,0.1
9/26/2015,2015,39,0,0,0.1
10/3/2015,2015,40,0.1,0,0.1
10/10/2015,2015,41,0,0,0
10/17/2015,2015,42,0,0.1,0.1
10/24/2015,2015,43,0,0,0
10/31/2015,2015,44,0,0,0
11/7/2015,2015,45,0,0,0
11/14/2015,2015,46,0,0,0
11/21/2015,2015,47,0,0,0.1
11/28/2015,2015,48,0,0,0.1
12/5/2015,2015,49,0.1,0.2,0.1
12/12/2015,2015,50,0,0,0.1
12/19/2015,2015,51,0,0,0
12/26/2015,2015,52,0,0,0.2
1/2/2016,2016,1,0.3,0.1,0
1/9/2016,2016,2,0.1,0.1,0
1/16/2016,2016,3,0,0.3,0.1
1/23/2016,2016,4,0,0,0.1
1/30/2016,2016,5,0,0,0
2/6/2016,2016,6,0,0,0.1
2/13/2016,2016,7,0,0.3,0.1
2/20/2016,2016,8,0,0.1,0
2/27/2016,2016,9,0.1,0,0.1
3/5/2016,2016,10,0,0.1,0
3/12/2016,2016,11,0,0,0
3/19/2016,2016,12,0,0,0
3/26/2016,2016,13,0,0,0
4/2/2016,2016,14,0,0,0
4/9/2016,2016,15,0.1,0.3,0
4/16/2016,2016,16,0,0,0.1
4/23/2016,2016,17,0,0,0.1
4/30/2016,2016,18,0,0,0.1
5/7/2016,2016,19,0,0,0.1
5/14/2016,2016,20,0,0,0.1
5/21/2016,2016,21,0,0,0.1
5/28/2016,2016,22,0,0,0.2
6/4/2016,2016,23,0.2,0,0.2
6/11/2016,2016,24,0,0,0.1
6/18/2016,2016,25,0,0,0.2
6/25/2016,2016,26,0,0,0.2
7/2/2016,2016,27,0.7,0,0.2
7/9/2016,2016,28,0.2,0,0.2
7/16/2016,2016,29,0.5,0,0.3
7/23/2016,2016,30,0.3,0,0.4
7/30/2016,2016,31,0,0,0.6
8/6/2016,2016,32,0.3,0,0.6
8/13/2016,2016,33,1.1,0,0.5
8/20/2016,2016,34,0,0,0.8
