Date,AntigenDetection,VirusIsolation,PCR
9/19/2015,1.1,0,0.4
9/26/2015,2.8,0,0.6
10/3/2015,1.4,0,0.3
10/10/2015,0.9,0,0.4
10/17/2015,1.7,0,0.7
10/24/2015,0.9,0,0.5
10/31/2015,3.7,0.6,0.9
11/7/2015,2.6,2.7,1.9
11/14/2015,2.7,0.7,2
11/21/2015,5.7,1.1,2.9
11/28/2015,5.5,3.5,3.5
12/5/2015,10.6,5.6,6.3
12/12/2015,12.4,4,10
12/19/2015,19.6,9.8,12.3
12/26/2015,19.2,16.5,13.1
1/2/2016,24,12.3,15.5
1/9/2016,21.7,13.1,14.1
1/16/2016,22.1,11,15
1/23/2016,23.9,9.1,15.6
1/30/2016,25,17.6,14.8
2/6/2016,21.3,9.4,14
2/13/2016,20.5,7.9,12.9
2/20/2016,15.9,11.5,11.1
2/27/2016,14.5,6.4,9
3/5/2016,11.9,1.9,8.4
3/12/2016,9.4,2.9,7.1
3/19/2016,7.8,2.5,5.7
3/26/2016,6.8,2.1,5.1
4/2/2016,4.7,1.2,5.1
4/9/2016,3.5,0.7,4.7
4/16/2016,2,0,3.3
4/23/2016,3.5,0,2.9
4/30/2016,2.8,1,2.8
5/7/2016,3.1,0,1.9
5/14/2016,2.4,0,2
5/21/2016,1.5,0,1.3
5/28/2016,1.6,0,1.2
6/4/2016,0.3,0,1.2
6/11/2016,1,2.2,0.7
6/18/2016,0.3,0,0.6
6/25/2016,0,0,0.5
7/2/2016,0.4,0,0.1
7/9/2016,0,0,0.3
7/16/2016,0,0,0.4
7/23/2016,0,0,1.1
7/30/2016,1.6,0,0.9
8/6/2016,1.5,0,0.6
8/13/2016,4.1,0,0.4
8/20/2016,2.7,0,0.4
8/27/2016,0,0,0.5
9/3/2016,1.9,0,1.2
9/10/2016,4.7,6.7,1
