REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Census Regions,New England,2013,40,0.621395,0.615189,117,44,X,168,19,20,368,176,59819
Census Regions,Mid-Atlantic,2013,40,1.36538,1.34569,678,331,X,718,123,79,1929,277,143347
Census Regions,East North Central,2013,40,0.958181,1.17847,402,205,X,426,110,75,1218,258,103354
Census Regions,West North Central,2013,40,0.530289,0.359025,63,43,X,103,18,8,235,134,65455
Census Regions,South Atlantic,2013,40,0.962448,1.04388,572,414,X,753,96,75,1910,364,182972
Census Regions,East South Central,2013,40,0.982797,1.17526,215,118,X,304,38,20,695,136,59136
Census Regions,West South Central,2013,40,2.17298,2.13328,529,379,X,627,110,58,1703,207,79830
Census Regions,Mountain,2013,40,0.822741,0.866895,240,174,X,341,66,91,912,216,105203
Census Regions,Pacific,2013,40,1.26543,1.27684,158,132,X,329,58,30,707,192,55371
Census Regions,New England,2013,41,0.654441,0.644258,126,39,X,195,15,16,391,180,60690
Census Regions,Mid-Atlantic,2013,41,1.44546,1.28686,685,288,X,624,129,79,1805,281,140264
Census Regions,East North Central,2013,41,1.08291,1.26874,472,240,X,455,98,89,1354,270,106720
Census Regions,West North Central,2013,41,0.776213,0.49039,97,56,X,123,21,26,323,137,65866
Census Regions,South Atlantic,2013,41,1.05477,1.11113,594,392,X,770,113,53,1922,357,172977
Census Regions,East South Central,2013,41,1.02987,1.25946,223,137,X,312,56,41,769,138,61058
Census Regions,West South Central,2013,41,2.2602,2.26947,591,428,X,690,148,92,1949,219,85879
Census Regions,Mountain,2013,41,0.918289,0.980571,274,206,X,394,104,96,1074,217,109528
Census Regions,Pacific,2013,41,1.44972,1.45335,214,138,X,362,78,41,833,191,57316
Census Regions,New England,2013,42,0.741983,0.734524,138,38,X,206,17,22,421,179,57316
Census Regions,Mid-Atlantic,2013,42,1.60624,1.36502,816,261,X,614,127,69,1887,293,138240
Census Regions,East North Central,2013,42,1.04223,1.27616,446,224,X,484,119,84,1357,268,106335
Census Regions,West North Central,2013,42,0.629885,0.41108,72,54,X,115,17,17,275,142,66897
Census Regions,South Atlantic,2013,42,1.04732,1.15415,612,448,X,770,146,75,2051,370,177707
Census Regions,East South Central,2013,42,1.16279,1.52183,272,183,X,366,75,50,946,140,62162
Census Regions,West South Central,2013,42,2.47656,2.43705,601,477,X,663,139,72,1952,218,80097
Census Regions,Mountain,2013,42,0.903924,0.93565,292,192,X,333,83,80,980,215,104740
Census Regions,Pacific,2013,42,1.4641,1.44712,234,133,X,329,62,31,789,193,54522
Census Regions,New England,2013,43,0.80209,0.687364,164,33,X,163,18,13,391,171,56884
Census Regions,Mid-Atlantic,2013,43,1.44236,1.50374,903,357,X,713,129,70,2172,294,144440
Census Regions,East North Central,2013,43,1.11344,1.36012,482,230,X,532,121,90,1455,269,106976
Census Regions,West North Central,2013,43,0.92922,0.535598,90,82,X,150,28,19,369,144,68895
Census Regions,South Atlantic,2013,43,1.15619,1.26666,728,501,X,837,141,86,2293,370,181027
Census Regions,East South Central,2013,43,1.62754,1.95139,377,220,X,530,58,41,1226,138,62827
Census Regions,West South Central,2013,43,2.42761,2.49303,639,527,X,807,151,59,2183,222,87564
Census Regions,Mountain,2013,43,0.900193,0.975149,335,178,X,412,76,93,1094,223,112188
Census Regions,Pacific,2013,43,1.50435,1.49345,212,164,X,340,94,43,853,196,57116
Census Regions,New England,2013,44,0.905562,0.722909,142,27,X,210,12,12,403,167,55747
Census Regions,Mid-Atlantic,2013,44,1.68186,1.58865,935,321,X,773,139,68,2236,297,140748
Census Regions,East North Central,2013,44,1.15992,1.42197,533,233,X,526,125,93,1510,271,106191
Census Regions,West North Central,2013,44,0.929067,0.585974,109,71,X,151,23,27,381,138,65020
Census Regions,South Atlantic,2013,44,1.1776,1.31741,683,566,X,888,164,80,2381,374,180734
Census Regions,East South Central,2013,44,1.67559,2.00329,367,226,X,556,66,28,1243,141,62048
Census Regions,West South Central,2013,44,2.5417,2.57671,682,471,X,738,173,84,2148,220,83362
Census Regions,Mountain,2013,44,0.921509,1.02022,377,253,X,412,129,95,1266,220,124091
Census Regions,Pacific,2013,44,1.66655,1.65029,217,186,X,388,99,44,934,200,56596
Census Regions,New England,2013,45,0.955454,0.775028,128,44,X,210,27,25,434,166,55998
