REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v
Census Regions,New England,2015,40,39,0,5,0,0,0,0,0
Census Regions,Mid-Atlantic,2015,40,59,1,4,0,1,0,0,0
Census Regions,East North Central,2015,40,91,2,5,0,0,0,1,0
Census Regions,West North Central,2015,40,169,0,4,0,0,0,0,0
Census Regions,South Atlantic,2015,40,186,1,7,0,0,0,0,0
Census Regions,East South Central,2015,40,21,0,0,0,1,0,0,0
Census Regions,West South Central,2015,40,72,0,2,0,0,0,0,0
Census Regions,Mountain,2015,40,111,0,6,0,0,0,0,0
Census Regions,Pacific,2015,40,330,0,31,2,8,0,0,0
Census Regions,New England,2015,41,39,2,3,0,0,0,0,0
Census Regions,Mid-Atlantic,2015,41,80,0,4,0,1,0,0,0
Census Regions,East North Central,2015,41,114,1,3,0,0,0,0,0
Census Regions,West North Central,2015,41,180,1,4,0,0,1,0,0
Census Regions,South Atlantic,2015,41,216,1,1,0,2,0,0,0
Census Regions,East South Central,2015,41,38,0,0,0,0,0,0,0
Census Regions,West South Central,2015,41,73,0,6,0,1,1,0,0
Census Regions,Mountain,2015,41,96,0,4,1,0,0,0,0
Census Regions,Pacific,2015,41,270,0,16,1,3,1,0,0
Census Regions,New England,2015,42,27,0,3,0,0,0,0,0
Census Regions,Mid-Atlantic,2015,42,84,4,3,0,0,0,0,0
Census Regions,East North Central,2015,42,138,2,3,0,0,0,0,0
Census Regions,West North Central,2015,42,169,1,9,0,0,0,0,0
Census Regions,South Atlantic,2015,42,232,2,4,0,2,0,0,0
Census Regions,East South Central,2015,42,55,0,1,0,0,0,0,0
Census Regions,West South Central,2015,42,104,0,1,0,0,0,0,0
Census Regions,Mountain,2015,42,78,1,2,0,0,0,0,0
Census Regions,Pacific,2015,42,230,0,17,1,6,2,2,0
Census Regions,New England,2015,43,35,0,1,0,0,0,0,0
Census Regions,Mid-Atlantic,2015,43,101,2,2,0,1,0,0,0
Census Regions,East North Central,2015,43,140,5,2,1,0,0,0,0
Census Regions,West North Central,2015,43,225,0,5,2,0,1,1,0
Census Regions,South Atlantic,2015,43,238,1,7,1,0,0,3,0
Census Regions,East South Central,2015,43,53,0,0,0,1,0,0,0
Census Regions,West South Central,2015,43,84,0,1,0,3,0,0,0
Census Regions,Mountain,2015,43,98,0,1,0,0,0,0,0
Census Regions,Pacific,2015,43,211,1,11,0,4,0,0,0
Census Regions,New England,2015,44,47,0,0,0,0,0,0,0
Census Regions,Mid-Atlantic,2015,44,111,1,4,0,0,0,0,0
Census Regions,East North Central,2015,44,202,0,1,0,1,0,0,0
Census Regions,West North Central,2015,44,244,1,3,3,0,0,1,0
Census Regions,South Atlantic,2015,44,275,0,4,0,0,0,1,0
Census Regions,East South Central,2015,44,68,0,0,0,0,0,0,0
Census Regions,West South Central,2015,44,110,0,1,0,2,0,1,0
Census Regions,Mountain,2015,44,104,1,3,0,0,1,1,0
Census Regions,Pacific,2015,44,223,1,7,1,5,0,0,0
Census Regions,New England,2015,45,41,1,2,0,0,1,0,0
Census Regions,Mid-Atlantic,2015,45,84,0,4,0,1,0,0,0
Census Regions,East North Central,2015,45,192,3,1,0,0,1,1,0
Census Regions,West North Central,2015,45,228,0,1,0,1,0,0,0
Census Regions,South Atlantic,2015,45,224,2,4,1,4,0,0,0
Census Regions,East South Central,2015,45,83,0,0,0,2,0,0,0
Census Regions,West South Central,2015,45,92,1,3,0,1,0,1,0
Census Regions,Mountain,2015,45,105,2,3,0,0,0,0,0
Census Regions,Pacific,2015,45,221,1,8,0,1,2,0,0
Census Regions,New England,2015,46,34,1,0,0,0,0,0,0
Census Regions,Mid-Atlantic,2015,46,136,4,17,0,0,0,0,0
Census Regions,East North Central,2015,46,180,3,1,1,0,0,0,0
Census Regions,West North Central,2015,46,236,4,1,0,0,0,1,0
Census Regions,South Atlantic,2015,46,292,0,4,0,2,0,0,0
Census Regions,East South Central,2015,46,78,0,0,0,0,0,0,0
Census Regions,West South Central,2015,46,92,0,0,0,0,0,0,0
Census Regions,Mountain,2015,46,96,4,6,0,0,0,1,0
Census Regions,Pacific,2015,46,182,1,9,0,2,0,2,0
Census Regions,New England,2015,47,28,1,0,0,0,0,0,0
Census Regions,Mid-Atlantic,2015,47,101,4,7,0,0,0,2,0
Census Regions,East North Central,2015,47,124,3,1,0,0,0,0,0
Census Regions,West North Central,2015,47,197,0,0,0,0,1,0,0
Census Regions,South Atlantic,2015,47,225,2,0,0,1,0,1,0
Census Regions,East South Central,2015,47,61,0,0,0,2,0,0,0
Census Regions,West South Central,2015,47,32,0,1,0,0,0,0,0
Census Regions,Mountain,2015,47,102,3,2,0,0,0,2,0
Census Regions,Pacific,2015,47,192,2,9,0,0,2,4,0
Census Regions,New England,2015,48,47,3,1,0,1,0,0,0
Census Regions,Mid-Atlantic,2015,48,100,5,12,1,0,0,2,0
Census Regions,East North Central,2015,48,174,4,4,0,0,0,0,0
Census Regions,West North Central,2015,48,245,0,1,0,0,0,0,0
Census Regions,South Atlantic,2015,48,283,1,1,0,0,1,3,0
Census Regions,East South Central,2015,48,80,1,0,0,3,0,0,0
Census Regions,West South Central,2015,48,96,1,1,0,1,0,0,0
Census Regions,Mountain,2015,48,129,9,6,0,1,1,1,0
Census Regions,Pacific,2015,48,228,3,9,1,2,1,3,0
Census Regions,New England,2015,49,26,1,0,0,0,0,0,0
Census Regions,Mid-Atlantic,2015,49,93,1,6,0,0,0,1,0
Census Regions,East North Central,2015,49,203,9,1,0,1,0,4,0
Census Regions,West North Central,2015,49,210,0,0,0,0,0,0,0
Census Regions,South Atlantic,2015,49,275,1,1,2,3,1,0,0
Census Regions,East South Central,2015,49,94,0,0,0,6,0,0,0
Census Regions,West South Central,2015,49,82,0,4,0,0,0,1,0
Census Regions,Mountain,2015,49,132,23,13,0,0,1,1,0
Census Regions,Pacific,2015,49,215,2,11,1,1,0,3,0
Census Regions,New England,2015,50,36,2,1,0,0,0,0,0
Census Regions,Mid-Atlantic,2015,50,99,4,15,0,1,1,2,0
Census Regions,East North Central,2015,50,166,15,4,0,0,0,1,0
Census Regions,West North Central,2015,50,247,5,2,0,0,0,1,0
Census Regions,South Atlantic,2015,50,292,6,0,0,1,0,0,0
Census Regions,East South Central,2015,50,79,2,0,0,3,0,0,0
Census Regions,West South Central,2015,50,62,0,1,0,0,1,0,0
Census Regions,Mountain,2015,50,147,28,7,0,1,0,6,0
Census Regions,Pacific,2015,50,195,4,6,0,2,2,7,0
Census Regions,New England,2015,51,43,2,3,0,0,0,0,0
Census Regions,Mid-Atlantic,2015,51,95,13,11,1,0,2,0,0
Census Regions,East North Central,2015,51,139,8,0,0,0,0,1,0
Census Regions,West North Central,2015,51,224,8,1,0,0,0,0,0
Census Regions,South Atlantic,2015,51,216,10,3,0,0,0,1,0
Census Regions,East South Central,2015,51,54,1,0,0,5,0,0,0
Census Regions,West South Central,2015,51,33,1,2,0,1,0,1,0
Census Regions,Mountain,2015,51,146,34,6,0,0,0,17,0
Census Regions,Pacific,2015,51,161,6,4,0,4,1,5,0
Census Regions,New England,2015,52,31,1,0,0,0,0,0,0
Census Regions,Mid-Atlantic,2015,52,97,18,5,0,0,1,2,0
Census Regions,East North Central,2015,52,169,12,0,0,0,0,3,0
Census Regions,West North Central,2015,52,229,8,2,0,0,1,0,0
Census Regions,South Atlantic,2015,52,286,5,4,0,2,0,1,0
Census Regions,East South Central,2015,52,54,0,0,0,0,0,0,0
Census Regions,West South Central,2015,52,34,2,0,0,0,0,1,0
Census Regions,Mountain,2015,52,173,75,9,0,1,2,13,0
Census Regions,Pacific,2015,52,213,13,16,1,1,4,9,0
Census Regions,New England,2016,1,59,3,2,0,1,0,1,0
Census Regions,Mid-Atlantic,2016,1,107,20,3,0,1,1,2,0
Census Regions,East North Central,2016,1,183,19,0,0,0,0,2,0
Census Regions,West North Central,2016,1,207,7,1,0,0,0,0,0
Census Regions,South Atlantic,2016,1,347,16,2,0,1,0,0,0
Census Regions,East South Central,2016,1,82,1,0,0,1,1,0,0
Census Regions,West South Central,2016,1,70,2,2,0,1,0,1,0
Census Regions,Mountain,2016,1,235,94,14,1,0,2,21,0
Census Regions,Pacific,2016,1,250,29,22,1,4,3,7,0
Census Regions,New England,2016,2,45,7,2,0,2,0,1,0
Census Regions,Mid-Atlantic,2016,2,113,32,5,0,1,0,2,0
Census Regions,East North Central,2016,2,178,20,3,0,0,0,1,0
Census Regions,West North Central,2016,2,172,13,2,1,0,0,3,0
Census Regions,South Atlantic,2016,2,306,19,12,1,13,0,0,0
Census Regions,East South Central,2016,2,78,2,2,0,0,0,0,0
Census Regions,West South Central,2016,2,70,6,3,0,2,0,1,0
Census Regions,Mountain,2016,2,203,89,15,1,3,4,22,0
Census Regions,Pacific,2016,2,322,40,23,2,13,17,17,0
Census Regions,New England,2016,3,62,13,1,0,2,1,0,0
Census Regions,Mid-Atlantic,2016,3,131,34,4,0,1,0,1,0
Census Regions,East North Central,2016,3,272,51,12,2,0,1,4,0
Census Regions,West North Central,2016,3,205,19,4,2,2,2,2,0
Census Regions,South Atlantic,2016,3,269,36,7,1,9,4,0,0
Census Regions,East South Central,2016,3,48,0,3,0,1,0,0,0
Census Regions,West South Central,2016,3,72,8,6,0,1,0,1,0
Census Regions,Mountain,2016,3,271,121,17,2,1,3,33,0
Census Regions,Pacific,2016,3,351,41,26,6,14,7,27,0
Census Regions,New England,2016,4,88,20,1,0,4,0,0,0
Census Regions,Mid-Atlantic,2016,4,158,29,7,4,6,2,7,0
Census Regions,East North Central,2016,4,356,82,28,6,0,1,5,0
Census Regions,West North Central,2016,4,219,51,2,1,0,0,2,0
Census Regions,South Atlantic,2016,4,386,54,12,1,15,0,3,0
Census Regions,East South Central,2016,4,65,2,3,0,2,1,0,0
Census Regions,West South Central,2016,4,123,8,8,0,0,2,1,0
Census Regions,Mountain,2016,4,398,151,53,0,5,7,54,0
Census Regions,Pacific,2016,4,445,74,26,2,28,9,16,0
Census Regions,New England,2016,5,129,50,5,0,5,3,1,0
Census Regions,Mid-Atlantic,2016,5,199,43,9,3,2,7,4,0
Census Regions,East North Central,2016,5,340,88,14,0,0,3,2,0
Census Regions,West North Central,2016,5,273,79,1,3,0,2,5,0
Census Regions,South Atlantic,2016,5,405,70,15,3,15,6,2,0
Census Regions,East South Central,2016,5,74,6,3,0,7,0,1,0
Census Regions,West South Central,2016,5,123,10,11,0,1,3,6,0
Census Regions,Mountain,2016,5,458,199,52,0,10,8,77,0
Census Regions,Pacific,2016,5,398,77,38,2,21,18,20,0
Census Regions,New England,2016,6,160,51,4,0,3,11,4,0
Census Regions,Mid-Atlantic,2016,6,208,53,13,3,7,9,6,0
Census Regions,East North Central,2016,6,339,110,14,0,2,2,8,0
Census Regions,West North Central,2016,6,295,115,3,2,0,1,5,0
Census Regions,South Atlantic,2016,6,490,121,13,5,16,3,4,0
Census Regions,East South Central,2016,6,82,14,4,0,5,1,1,0
Census Regions,West South Central,2016,6,103,18,12,1,9,2,3,0
Census Regions,Mountain,2016,6,514,214,81,0,13,8,93,0
Census Regions,Pacific,2016,6,458,95,41,5,43,10,27,0
Census Regions,New England,2016,7,168,84,11,0,10,4,1,0
Census Regions,Mid-Atlantic,2016,7,252,100,8,2,3,14,11,0
