"","Combo"
"1","a+b+c+d+e+f+g+h+i+o+p"
"2","r+u+p+a+t+e+h+i+f+v+g"
"3","h+b+a+t+c+d+i+g+o+q+u"
"4","g+b+d+i+t+h+o+f+s+c+r"
"5","p+c+i+g+t+h+f+o+a+r+q"
"6","f+r+s+c+h+p+e+d+b+g+a"
"7","d+i+f+o+p+v+b+r+a+t+c"
"8","v+q+b+f+c+i+h+g+e+p+o"
"9","t+s+h+f+u+p+b+e+v+a+o"
"10","u+f+v+o+a+b+i+r+t+h+p"
"11","o+u+g+c+e+h+b+r+v+t+i"
"12","q+p+r+g+o+e+d+b+h+f+u"
"13","o+r+p+q+e+b+d+t+h+v+s"
"14","h+d+r+p+q+f+a+e+s+c+b"
"15","g+d+b+e+q+h+s+a+f+r+i"
"16","p+f+t+i+o+u+b+q+s+e+d"
"17","v+e+c+h+s+i+p+o+a+b+f"
"18","r+t+f+b+g+o+s+d+a+p+c"
"19","a+i+d+e+q+p+s+v+r+g+h"
"20","b+f+p+g+c+h+o+i+t+a+r"
"21","r+s+v+g+t+q+c+d+b+f+e"
"22","q+b+o+v+p+s+e+r+d+h+a"
"23","q+v+o+c+r+d+i+a+t+s+p"
"24","h+s+g+b+c+r+a+d+i+q+e"
"25","o+d+b+v+u+q+h+f+p+c+g"
"26","u+v+q+i+e+a+c+f+t+o+p"
"27","e+r+p+d+a+q+h+t+i+b+s"
"28","d+a+q+u+v+b+p+c+f+h+o"
"29","e+t+i+s+o+c+g+r+h+q+b"
"30","e+p+i+f+a+q+r+c+h+g+t"
"31","h+f+u+v+b+s+p+g+e+i+c"
"32","e+f+r+c+q+s+t+g+a+i+d"
"33","t+c+a+o+q+i+p+e+s+u+r"
"34","q+h+d+a+c+u+o+b+i+s+f"
"35","d+i+t+e+a+s+p+q+f+u+o"
"36","c+q+v+e+s+a+u+o+r+g+d"
"37","h+b+u+v+r+d+o+f+e+s+a"
"38","a+e+d+o+r+q+u+i+h+b+t"
"39","q+u+b+d+t+h+s+a+e+r+f"
"40","t+u+a+e+b+g+s+f+i+q+p"
"41","p+q+o+t+g+u+d+r+a+f+c"
"42","s+t+r+u+c+h+f+g+p+v+e"
"43","f+a+v+o+q+s+h+d+t+e+p"
"44","i+q+u+t+h+a+o+b+e+f+r"
"45","p+r+g+t+q+e+s+a+h+c+u"
"46","d+r+g+i+c+o+p+f+t+q+b"
"47","e+u+q+p+s+a+r+b+i+t+g"
"48","r+i+s+u+a+f+d+c+b+e+v"
"49","v+f+i+o+h+e+p+c+u+s+a"
"50","s+q+g+o+d+c+u+e+r+p+i"
"51","t+r+b+o+g+s+i+d+u+c+h"
"52","v+r+d+s+f+b+c+u+g+i+t"
"53","c+u+a+t+g+f+o+i+p+q+e"
"54","e+g+u+b+f+p+v+a+r+s+h"
"55","h+p+g+o+u+q+b+f+a+i+d"
"56","t+e+p+h+i+s+q+a+v+o+b"
"57","v+a+p+t+q+r+f+e+s+o+d"
"58","i+v+h+o+q+r+a+c+s+e+b"
"59","o+b+i+c+s+e+a+t+d+v+u"
"60","q+p+r+a+c+e+f+i+h+v+s"
"61","u+a+o+q+f+e+v+i+c+b+r"
"62","g+t+i+b+u+d+f+r+p+a+o"
"63","t+a+g+v+e+f+i+s+o+r+p"
"64","r+u+q+b+a+t+e+h+c+g+o"
"65","q+v+b+o+t+i+p+a+s+e+d"
"66","i+t+c+e+f+u+q+b+r+o+h"
"67","f+u+r+v+g+e+q+c+p+b+h"
"68","c+g+s+f+v+e+q+d+p+i+h"
"69","c+s+p+q+f+e+r+i+h+o+u"
"70","s+g+e+i+v+q+o+c+h+r+p"
"71","r+c+p+b+s+o+q+i+f+u+d"
"72","s+o+c+f+i+g+v+b+h+p+d"
"73","g+r+i+e+o+b+u+h+s+p+a"
"74","o+s+d+f+i+c+u+t+g+v+r"
"75","t+f+g+r+o+b+c+s+v+d+u"
"76","q+v+b+a+p+h+u+r+i+d+g"
"77","i+a+b+f+h+t+u+p+o+s+c"
"78","v+f+q+d+t+s+g+a+b+i+p"
"79","b+h+u+s+f+o+r+v+c+a+d"
"80","f+e+r+d+h+g+a+o+c+s+i"
"81","s+v+h+f+i+e+o+d+b+p+c"
"82","u+g+s+v+d+b+o+a+i+t+q"
"83","c+f+q+r+h+e+u+s+i+a+v"
"84","h+a+t+f+e+d+u+i+v+q+b"
"85","s+e+f+r+d+t+q+i+o+g+p"
"86","b+c+i+o+h+r+e+g+f+u+q"
"87","o+v+f+p+u+e+a+r+c+h+i"
"88","g+o+b+a+v+d+r+q+i+p+f"
"89","o+b+d+p+i+e+a+h+f+s+t"
"90","v+f+g+p+d+q+o+s+i+b+a"
"91","r+c+i+v+u+t+d+e+g+a+s"
"92","t+b+d+r+h+e+f+q+i+o+s"
"93","o+h+t+f+b+p+a+v+c+d+u"
"94","v+q+d+c+t+g+a+s+p+b+h"
