"","Date","CustomerSiteId","SequenceIndex","Cp1","Cp2","Cp3","Cp4","Cp5","Cp6","Runs","Positives","RhinoPositives","Negatives","SequencePositives"
"1",2013-01-21,13,18,30,70,70,70,70,70,27,8,1,19,1
"2",2013-01-22,13,1,19,20.5,21.6,22.9,70,70,20,6,3,14,1
"3",2013-01-22,13,19,18.9,19.9,20.8,22,70,70,20,6,3,14,1
"4",2013-01-22,13,56,27.1,27.1,70,70,70,70,20,6,3,14,1
"5",2013-01-23,13,1,21.4,21.6,22.9,27,70,70,24,6,3,18,1
"6",2013-01-23,13,25,14.1,15,15,17.7,70,70,24,6,3,18,1
"7",2013-01-23,13,31,23.3,23.5,27.1,70,70,70,24,6,3,18,1
"8",2013-01-30,13,34,27.1,27.1,30,70,70,70,11,3,1,8,1
"9",2013-02-05,13,55,21.1,21.2,27,70,70,70,9,3,1,6,1
"10",2013-02-06,13,1,14.5,14.6,19.1,21,70,70,19,6,2,13,1
"11",2013-02-06,13,13,27,27,27,27.1,70,70,19,6,2,13,1
"12",2013-02-07,13,19,12.2,12.3,13,15.6,70,70,18,6,1,12,1
"13",2013-02-08,13,14,13.7,15.7,22.3,27.1,70,70,20,5,3,15,1
"14",2013-02-08,13,15,8.8,11.7,16,23.5,70,70,20,5,3,15,1
"15",2013-02-08,13,19,20,20.1,20.7,23.7,70,70,20,5,3,15,1
"16",2013-02-10,13,23,19.5,22.1,27.1,70,70,70,11,3,1,8,1
"17",2013-02-13,13,18,27.1,70,70,70,70,70,8,2,2,6,1
"18",2013-02-13,13,25,17.7,20.8,23.3,27.1,70,70,8,2,2,6,1
"19",2013-03-27,26,16,18.1,19.5,27.1,70,70,70,27,8,2,19,1
"20",2013-03-27,26,19,13.7,14.1,14.5,16.9,70,70,27,8,2,19,1
"21",2013-03-28,26,1,22.7,23.3,24,27.1,70,70,27,6,1,21,1
"22",2013-04-01,26,1,17.5,17.7,19.8,22.1,70,70,15,3,1,12,1
"23",2013-04-04,26,59,27,27.1,27.1,70,70,70,9,3,1,6,1
"24",2013-04-16,7,25,10.1,11,11,11.2,70,70,24,5,1,19,1
"25",2013-04-17,7,1,13.8,13.8,14.1,14.9,70,70,22,4,2,18,1
"26",2013-04-17,7,12,17.1,17.7,22.8,23.9,70,70,22,4,2,18,1
"27",2013-04-18,7,14,15.6,19.1,27.1,27.1,70,70,23,5,5,18,1
"28",2013-04-18,7,14,16.2,22.2,27.1,27.1,70,70,23,5,5,18,1
"29",2013-04-18,7,17,13.8,14.5,14.6,15.3,70,70,23,5,5,18,1
"30",2013-04-18,7,19,6,6.4,9.6,11.3,70,70,23,5,5,18,1
"31",2013-04-18,7,9,18.8,27.1,27.1,70,70,70,23,5,5,18,1
"32",2013-04-19,7,2,24.1,24.3,24.4,27.1,70,70,39,7,2,32,1
