"","Cp1","Cp2","Cp3","Cp4","Cp5","Cp6"
"1",30,70,70,70,70,70
"2",19,20.5,21.6,22.9,70,70
"3",18.9,19.9,20.8,22,70,70
"4",27.1,27.1,70,70,70,70
"5",21.4,21.6,22.9,27,70,70
"6",14.1,15,15,17.7,70,70
"7",23.3,23.5,27.1,70,70,70
"8",27.1,27.1,30,70,70,70
"9",21.1,21.2,27,70,70,70
"10",14.5,14.6,19.1,21,70,70
"11",27,27,27,27.1,70,70
"12",12.2,12.3,13,15.6,70,70
"13",13.7,15.7,22.3,27.1,70,70
"14",8.8,11.7,16,23.5,70,70
"15",20,20.1,20.7,23.7,70,70
"16",19.5,22.1,27.1,70,70,70
"17",27.1,70,70,70,70,70
"18",17.7,20.8,23.3,27.1,70,70
"19",18.1,19.5,27.1,70,70,70
"20",13.7,14.1,14.5,16.9,70,70
"21",22.7,23.3,24,27.1,70,70
"22",17.5,17.7,19.8,22.1,70,70
"23",27,27.1,27.1,70,70,70
"24",10.1,11,11,11.2,70,70
"25",13.8,13.8,14.1,14.9,70,70
"26",17.1,17.7,22.8,23.9,70,70
"27",15.6,19.1,27.1,27.1,70,70
"28",16.2,22.2,27.1,27.1,70,70
"29",13.8,14.5,14.6,15.3,70,70
"30",6,6.4,9.6,11.3,70,70
"31",18.8,27.1,27.1,70,70,70
"32",24.1,24.3,24.4,27.1,70,70
"33",15,17.7,27,27.1,70,70
"34",17.1,17.4,18.1,19.9,70,70
"35",12.9,14.1,14.5,15.4,70,70
"36",23.7,24.4,27.1,27.1,70,70
"37",30,70,70,70,70,70
"38",20.9,20.9,23.5,70,70,70
"39",21,24.6,25.4,27,70,70
"40",27,27.1,27.1,27.1,70,70
"41",6.9,7.2,7.6,8.3,70,70
"42",30,70,70,70,70,70
"43",12.5,13.4,16.6,16.7,70,70
"44",18.7,19.8,22,24.5,70,70
"45",14.8,20.8,27.1,27.1,70,70
"46",13.1,13.6,14.6,15.3,70,70
"47",11.9,12.3,13.7,14.8,70,70
"48",19.2,19.6,20.7,27,70,70
"49",17.9,18.2,20.8,21.7,70,70
"50",9.4,9.6,9.7,11,70,70
"51",12.8,13.1,16,17.9,70,70
"52",23.3,27,70,70,70,70
"53",9.1,15.9,19.9,24.6,70,70
"54",15.5,21.8,27.1,27.1,70,70
"55",27.1,70,70,70,70,70
"56",23.3,70,70,70,70,70
"57",22.1,27.1,27.1,70,70,70
"58",19.3,20.1,26.9,27,70,70
"59",24.7,27.1,70,70,70,70
"60",15.1,15.5,15.9,17,70,70
"61",21.1,21.4,23.3,26.9,70,70
"62",23,27,27,27.1,70,70
"63",19.7,20.8,27.1,30,70,70
"64",16.7,17.4,19.5,19.6,70,70
"65",10.1,12.4,18.6,22.6,70,70
"66",17.3,18.4,19.3,20.5,70,70
"67",12.8,13.4,17,70,70,70
"68",22.3,22.4,27.1,70,70,70
"69",19.9,20.9,27.1,70,70,70
"70",27.1,70,70,70,70,70
"71",11,11.1,11.6,13.8,70,70
"72",14,14.2,15.9,16.1,70,70
"73",15.7,16.9,18.5,27.1,70,70
"74",20,20.4,27.1,30,70,70
"75",16.1,16.7,19.5,19.9,70,70
"76",11.5,11.9,13,15.3,70,70
"77",15.6,16.3,17.8,22.1,70,70
"78",14.4,18,24.4,27.1,70,70
"79",23.4,24.2,27.1,27.1,70,70
"80",18.5,27.1,27.1,70,70,70
"81",27.1,27.1,70,70,70,70
"82",14.5,14.8,15.6,16.3,70,70
"83",8,8.5,11.2,15.8,70,70
"84",23,23.2,24,25.5,70,70
"85",15.3,18.7,24.7,70,70,70
"86",14.6,14.6,20.4,70,70,70
"87",14,14.8,16.5,17.7,70,70
"88",11.7,11.9,12.5,13.3,70,70
"89",22.8,27.1,70,70,70,70
"90",13.8,14.1,14.6,15.5,70,70
"91",18.1,18.7,70,70,70,70
"92",7,7.2,7.7,8.8,70,70
"93",27.1,70,70,70,70,70
"94",9.5,9.7,10,10.8,70,70
"95",8.7,8.8,9.2,10.1,70,70
"96",20.3,27.1,27.1,70,70,70
"97",11.6,11.6,11.9,13,70,70
"98",15.7,15.9,16.4,17.5,70,70
"99",10.9,11,11.2,13.3,70,70
"100",16,16.1,16.3,17.3,70,70
"101",14.5,19,27,27.1,70,70
